"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","9.52","$1.08B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","234.73","$139.81B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","10.4","$424.37M","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","70.38","$10.31B","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","14.15","$1.3B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","4.9","$106.59M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","7.63","$539.83M","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","9.07","$217.67M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","40.21","$1.4B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","40.26","$2.92B","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","26.6","$56.78B","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","56.93","$99.09B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","98.21","$156.79B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","18.19","$1.24B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","12.42","$109.5M","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"ACP","Aberdeen Income Credit Strategies Fund","14.01","$183.17M","2011","n/a","n/a","http://www.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","9.5","$127.09M","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","12.5935","$93.43M","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","38.23","$2.49B","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","27.38","$2.29B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc","153.89","$97.96B","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","12.6","$1.34B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","17.04","$45.69M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","24.6","$1.47B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","172.18","$7.26B","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","21.23","$1.58B","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","15.08","$1.49B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.77","$564.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","10.19","$1.25B","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ADNT","Adient plc","79.69","$7.42B","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt",
"ATGE","Adtalem Global Education Inc.","44.05","$2.67B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","100.55","$7.43B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","23.8","$2.11B","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","23.65","$1.32B","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"ASX","Advanced Semiconductor Engineering, Inc.","6.47","$11.29B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ASIX","AdvanSix Inc.","42.81","$1.3B","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix",
"AAV","Advantage Oil & Gas Ltd","4.1","$762.45M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"AVK","Advent Claymore Convertible Securities and Income Fund","15.87","$318.09M","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","6.03","$165.03M","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","8.37","$76.85M","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","AECOM","37.28","$5.88B","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","4.1","$166.63M","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","24.715","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.8496","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","6.23","$12.8B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.79","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.36","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","53.06","$8.38B","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","5.94","$318.38M","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","32.2","$2.42B","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AET","Aetna Inc.","179.96","$58.7B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AMG","Affiliated Managers Group, Inc.","204.2","$11.35B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","87.21","$34.29B","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","19.3","$544.12M","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.39","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","25.2219","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^b",
"AGCO","AGCO Corporation","72.94","$5.8B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","67.35","$21.76B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a",
"AEM","Agnico Eagle Mines Limited","45.32","$10.53B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","50.73","$1.48B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"AGU","Agrium Inc.","112.98","$15.61B","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu",
"AL","Air Lease Corporation","47.82","$4.94B","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"APD","Air Products and Chemicals, Inc.","163.42","$35.76B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"AYR","Aircastle Limited","23.62","$1.86B","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AKS","AK Steel Holding Corporation","5.71","$1.8B","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"ALP^Q","Alabama Power Company","26.2921","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","115.35","$1.34B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","6.63","$2.58B","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi",
"ALK","Alaska Air Group, Inc.","74.28","$9.14B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"AIN","Albany International Corporation","61.4","$1.98B","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","129.29","$14.29B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","49.99","$9.25B","2016","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/aa",
"ALEX","Alexander & Baldwin Holdings, Inc.","27.87","$1.37B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","393.76","$2.01B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","129.46","$12.39B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/are",
"ARE^D","Alexandria Real Estate Equities, Inc.","36.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/are^d",
"AQN","Algonquin Power & Utilities Corp.","11.05","$4.71B","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"BABA","Alibaba Group Holding Limited","176.29","$452.33B","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"Y","Alleghany Corporation","589.86","$9.08B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","24.62","$3.1B","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"ALLE","Allegion plc","80.34","$7.64B","2013","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/alle",
"AGN","Allergan plc.","164.9","$54.84B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agn",
"AGN^A","Allergan plc.","591","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agn^a",
"ALE","Allete, Inc.","73.45","$3.75B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"AKP","Alliance California Municipal Income Fund Inc","13.55","$115.92M","2002","n/a","n/a","http://www.nasdaq.com/symbol/akp",
"ADS","Alliance Data Systems Corporation","251.99","$13.92B","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"AFB","Alliance National Municipal Income Fund Inc","13.33","$383.17M","2002","n/a","n/a","http://www.nasdaq.com/symbol/afb",
"AOI","Alliance One International, Inc.","13.9","$125.12M","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/aoi",
"AWF","Alliance World Dollar Government Fund II","12.75","$1.1B","1993","n/a","n/a","http://www.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","25.4","$2.38B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"LNT","Alliant Energy Corporation","42.5","$9.83B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","9.09","$165.96M","2017","n/a","n/a","http://www.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","7","$620.86M","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncv",
"NCZ","AllianzGI Convertible & Income Fund II","6.18","$462.47M","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncz",
"ACV","AllianzGI Diversified Income & Convertible Fund","21.92","$225.23M","2015","n/a","n/a","http://www.nasdaq.com/symbol/acv",
"NIE","AllianzGI Equity & Convertible Income Fund","21.2101","$587.71M","2007","n/a","n/a","http://www.nasdaq.com/symbol/nie",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","13.15","$1.25B","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"ALSN","Allison Transmission Holdings, Inc.","43.15","$6.12B","2012","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alsn",
"ALL","Allstate Corporation (The)","104.11","$37.36B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"ALL^A","Allstate Corporation (The)","25.88","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^a",
"ALL^B","Allstate Corporation (The)","27.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^b",
"ALL^C","Allstate Corporation (The)","26.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^c",
"ALL^D","Allstate Corporation (The)","26.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^d",
"ALL^E","Allstate Corporation (The)","26.8113","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^e",
"ALL^F","Allstate Corporation (The)","26.91","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/all^f",
"ALLY","Ally Financial Inc.","29.25","$12.93B","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","26.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ally^a",
"ALDW","Alon USA Partners, LP","16.63","$1.04B","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AGD","Alpine Global Dynamic Dividend Fund","11","$138.05M","2006","n/a","n/a","http://www.nasdaq.com/symbol/agd",
"AWP","Alpine Global Premier Properties Fund","6.66","$568.82M","2007","n/a","n/a","http://www.nasdaq.com/symbol/awp",
"AOD","Alpine Total Dynamic Dividend Fund","9.43","$1.01B","2007","n/a","n/a","http://www.nasdaq.com/symbol/aod",
"AYX","Alteryx, Inc.","25.62","$1.52B","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","21.01","$15.49B","2017","Consumer Services","Television Services","http://www.nasdaq.com/symbol/atus",
"RESI","Altisource Residential Corporation","11.85","$633.36M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"MO","Altria Group","72.14","$137.66B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","17.84","$10.64B","2001","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"AMBR","Amber Road, Inc.","7.31","$198.92M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ambr",
"ABEV","Ambev S.A.","6.27","$98.49B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/abev",
"AMC","AMC Entertainment Holdings, Inc.","14.9","$1.92B","2013","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/amc",
"AEE","Ameren Corporation","58.69","$14.24B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMRC","Ameresco, Inc.","8.45","$384.5M","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"AMOV","America Movil, S.A.B. de C.V.","16.78","$55.42B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","16.96","$56.02B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AAT","American Assets Trust, Inc.","37.74","$1.78B","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","17.24","$1.92B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"ACC","American Campus Communities Inc","40.31","$5.5B","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","18.85","$3.34B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aeo",
"AEP","American Electric Power Company, Inc.","73.65","$36.23B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AEL","American Equity Investment Life Holding Company","32.13","$2.86B","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","98.74","$85.71B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","108.36","$9.55B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","26.36","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","26.37","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afgh",
"AMH","American Homes 4 Rent","21.78","$6.25B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amh",
"AMH^C","American Homes 4 Rent","28.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^c",
"AMH^D","American Homes 4 Rent","27.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^d",
"AMH^E","American Homes 4 Rent","26.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^e",
"AMH^F","American Homes 4 Rent","25.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^f",
"AMH^G","American Homes 4 Rent","25.14","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amh^g",
"AIG","American International Group, Inc.","59.31","$53.32B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AIG.WS","American International Group, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aig.ws",
"AMID","American Midstream Partners, LP","13.35","$844M","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"ARL","American Realty Investors, Inc.","13.5","$209.44M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/arl",
"ARA","American Renal Associates Holdings, Inc","17.05","$536.4M","2016","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ara",
"AWR","American States Water Company","56.1","$2.06B","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AMT","American Tower Corporation (REIT)","140.66","$59.49B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amt",
"AMT^B","American Tower Corporation (REIT)","123.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amt^b",
"AVD","American Vanguard Corporation","19.6","$583.97M","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AWK","American Water Works","90.51","$16.14B","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"APU","AmeriGas Partners, L.P.","45.21","$4.2B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/apu",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","171.51","$25.37B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"ABC","AmerisourceBergen Corporation (Holding Co)","92.46","$20.16B","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"ANFI","Amira Nature Foods Ltd","4.31","$143.38M","2012","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/anfi",
"AMN","AMN Healthcare Services Inc","48.5","$2.32B","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/amn",
"AP","Ampco-Pittsburgh Corporation","13.1","$161.94M","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","88.14","$26.91B","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"BETR","Amplify Snack Brands, inc.","12.14","$931.62M","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/betr",
"AXR","AMREP Corporation","6.99","$56.61M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/axr",
"AME","AMTEK, Inc.","72.6","$16.78B","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ame",
"AFSI^A","AmTrust Financial Services, Inc.","20.57","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^a",
"AFSI^B","AmTrust Financial Services, Inc.","21.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^b",
"AFSI^C","AmTrust Financial Services, Inc.","22.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^c",
"AFSI^D","AmTrust Financial Services, Inc.","21.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^d",
"AFSI^E","AmTrust Financial Services, Inc.","22.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^e",
"AFSI^F","AmTrust Financial Services, Inc.","20.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^f",
"AFSS","AmTrust Financial Services, Inc.","25.0019","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AFST","AmTrust Financial Services, Inc.","26.05","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afst",
"AEUA","Anadarko Petroleum Corporation","33.36","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","52.93","$28.96B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"ANDV","Andeavor","112.18","$17.5B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/andv",
"ANDX","Andeavor Logistics LP","46.44","$10.04B","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/andx",
"AU","AngloGold Ashanti Limited","9.81","$4.01B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","111.56","$179.36B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","74.8","$2.49B","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/axe",
"NLY","Annaly Capital Management Inc","12.05","$13.97B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nly",
"NLY^C","Annaly Capital Management Inc","25.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^c",
"NLY^D","Annaly Capital Management Inc","25.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^d",
"NLY^E","Annaly Capital Management Inc","25.19","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^e",
"NLY^F","Annaly Capital Management Inc","25.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^f",
"AMGP","Antero Midstream GP LP","18.55","$3.45B","2017","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amgp",
"AM","Antero Midstream Partners LP","29.18","$5.45B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","18.59","$5.87B","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","225.6","$57.93B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antm",
"ANTX","Anthem, Inc.","55.93","$14.82B","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antx",
"ANH","Anworth Mortgage Asset  Corporation","5.56","$545.49M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","26.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","27.805","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","25.435","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^c",
"AON","Aon plc","133.35","$33.32B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"APA","Apache Corporation","42.91","$16.35B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AIV","Apartment Investment and Management Company","43.19","$6.78B","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiv",
"AIV^A","Apartment Investment and Management Company","27.57","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aiv^a",
"ARI","Apollo Commercial Real Estate Finance","18.89","$2.02B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ari",
"ARI^C","Apollo Commercial Real Estate Finance","25.58","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ari^c",
"APO","Apollo Global Management, LLC","34.01","$13.91B","2011","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, LLC","26.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apo^a",
"AIY","Apollo Investment Corporation","26.37","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/aiy",
"AFT","Apollo Senior Floating Rate Fund Inc.","16.19","$252.13M","2011","n/a","n/a","http://www.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","15.61","$225.78M","2013","n/a","n/a","http://www.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","19.65","$4.38B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","64.35","$2.5B","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","85.9","$5.35B","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","84.79","$22.54B","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/aptv",
"WTR","Aqua America, Inc.","38.52","$6.84B","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"AQ","Aquantia Corp.","11.19","$374.74M","2017","Technology","Semiconductors","http://www.nasdaq.com/symbol/aq",
"WAAS","AquaVenture Holdings Limited","15.93","$421.4M","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/waas",
"ARMK","Aramark","42.8","$10.51B","2013","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","8.64","$533.11M","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","25.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^a",
"ABR^B","Arbor Realty Trust","25.3188","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^b",
